"YYYYmmddHHMM","LE","H","wind_speed","wind_dir","air_pressure","Tair","RH"
202001030800,NA,NA,NA,NA,NA,NA,NA
202001030830,NA,NA,NA,NA,NA,NA,NA
202001030900,NA,NA,NA,NA,NA,NA,NA
202001030930,NA,NA,NA,NA,NA,NA,NA
202001031000,NA,NA,NA,NA,NA,NA,NA
202001031030,NA,NA,NA,NA,NA,NA,NA
202001031100,NA,NA,NA,NA,NA,NA,NA
202001031130,NA,NA,NA,NA,NA,NA,NA
202001031200,NA,NA,NA,NA,NA,NA,NA
202001031230,NA,NA,NA,NA,NA,NA,NA
202001031300,NA,NA,NA,NA,NA,NA,NA
202001031330,NA,NA,NA,NA,NA,NA,NA
202001031400,NA,NA,NA,NA,NA,NA,NA
202001031430,NA,NA,NA,NA,NA,NA,NA
202001031500,NA,NA,NA,NA,NA,NA,NA
202001031530,NA,-48.933,5.94391,321.574,101689,NA,NA
202001031600,NA,-32.662,7.63052,314.689,101796,NA,NA
202001031630,NA,-42.7287,8.28831,325.608,101893,NA,NA
202001031700,11.5121,-36.2908,6.81245,319.097,101994,NA,NA
202001031730,9.39807,-33.9725,6.86089,314.952,102047,NA,NA
202001031800,NA,-29.2757,6.62438,313.31,102111,NA,NA
202001031830,10.9225,-34.8559,5.70767,307.756,102173,NA,NA
202001031900,8.11009,-35.232,6.16172,302.998,102242,NA,NA
202001031930,11.6646,-41.4237,5.62014,295.757,102295,NA,NA
202001032000,5.62805,-29.0209,5.41012,282.341,102331,NA,NA
202001032030,4.14386,-20.7093,5.22574,278.438,102364,NA,NA
202001032100,3.94656,-18.5964,5.7013,270.844,102395,NA,NA
202001032130,3.39483,-19.8103,6.2406,268.783,102436,NA,NA
202001032200,3.58109,-21.3853,6.36311,263.976,102473,NA,NA
202001032230,3.35211,-22.3123,6.83656,268.023,102499,NA,NA
202001032300,3.77783,-21.885,6.3792,266.825,102522,NA,NA
202001032330,NA,NA,6.05155,256.488,102513,NA,NA
202001040000,4.23737,-19.5092,5.97814,255.658,102506,NA,NA
202001040030,3.64708,-18.3617,5.87944,249.906,102496,NA,NA
202001040100,NA,NA,6.14503,249.48,102508,NA,NA
202001040130,4.07425,-28.516,7.46782,264.392,102505,NA,NA
202001040200,2.31711,-28.8456,7.83099,270.25,102494,NA,NA
202001040230,NA,-41.3558,8.0793,278.327,102484,NA,NA
202001040300,0.88213,-46.3227,8.29694,283.323,102483,NA,NA
202001040330,-0.217441,-47.2537,7.52448,280.89,102489,NA,NA
202001040400,0.0365,-30.8144,7.94925,270.13,102480,NA,NA
202001040430,0.203007,-36.5258,8.50833,266.011,102465,NA,NA
202001040500,-1.49722,-39.9303,8.50585,261.334,102470,NA,NA
202001040530,-2.92682,-39.7015,9.4283,265.45,102446,NA,NA
202001040600,-3.72237,-36.5428,9.12786,264.192,102445,NA,NA
202001040630,-3.23627,-40.3431,9.05054,265.489,102459,NA,NA
202001040700,-3.72071,-41.209,9.35191,266.396,102467,NA,NA
202001040730,-5.32941,-40.6821,9.16838,266.659,102474,NA,NA
202001040800,-4.91943,-35.9742,8.15755,263.226,102471,NA,NA
202001040830,-4.52529,-37.5861,8.14073,265.589,102475,NA,NA
202001040900,-5.40022,-48.9622,9.77443,270.182,102442,NA,NA
202001040930,-6.23609,-52.8331,10.443,273.02,102442,NA,NA
202001041000,-6.30887,-52.015,10.3233,275.399,102458,NA,NA
202001041030,-8.12199,-55.2024,9.12525,280.571,102497,NA,NA
202001041100,-6.74955,-46.4108,8.10568,280.215,102548,NA,NA
202001041130,-5.77674,-45.004,8.2314,281.497,102569,NA,NA
202001041200,-6.23531,-51.4909,7.72546,283.763,102601,NA,NA
202001041230,-5.57281,-42.7925,7.50577,284.982,102608,NA,NA
202001041300,-7.0204,-44.4989,7.59489,285.87,102617,NA,NA
202001041330,-8.00931,-48.7033,7.04649,284.683,102631,NA,NA
202001041400,-6.79347,-39.4449,6.94993,284.038,102643,NA,NA
202001041430,-8.42421,-42.4836,7.41217,286.704,102664,NA,NA
202001041500,-8.66276,-38.6128,6.60142,284.881,102680,NA,NA
202001041530,-8.28382,-35.19,7.03196,288.412,102694,NA,NA
202001041600,-10.9421,NA,5.79786,313.425,102748,NA,NA
202001041630,NA,-19.9147,3.92752,314.674,102819,NA,NA
202001041700,NA,NA,NA,NA,NA,NA,NA
202001041730,-4.64065,-15.5561,3.47865,282.769,102909,NA,NA
202001041800,-4.30652,-14.129,3.43694,281.948,102954,NA,NA
202001041830,-5.25388,-22.8684,2.94987,299.716,102999,NA,NA
202001041900,NA,-9.5722,2.54484,303.991,103036,NA,NA
202001041930,NA,NA,3.45632,273.631,103070,NA,NA
202001042000,NA,NA,1.18497,268.338,103113,NA,NA
202001042030,NA,NA,0.902645,199.858,103133,NA,NA
202001042100,NA,NA,2.08221,209.86,103154,NA,NA
202001042130,NA,NA,3.09022,228.042,103155,NA,NA
202001042200,NA,NA,2.94856,226.229,103178,NA,NA
202001042230,NA,NA,3.21298,220.822,103206,NA,NA
202001042300,NA,NA,2.70049,221.928,103217,NA,NA
202001042330,NA,NA,2.5886,205.636,103211,NA,NA
202001050000,NA,NA,2.87754,210.8,103223,NA,NA
202001050030,NA,NA,2.55296,194.259,103214,NA,NA
202001050100,NA,-3.96328,3.37716,193.911,103208,NA,NA
202001050130,NA,NA,NA,NA,NA,NA,NA
202001050200,NA,NA,NA,NA,NA,NA,NA
202001050230,NA,NA,NA,NA,NA,NA,NA
202001050300,NA,-3.64199,2.44827,196.937,103240,NA,NA
202001050330,NA,NA,4.12026,187.188,103244,NA,NA
202001050400,NA,NA,NA,NA,NA,NA,NA
202001050430,NA,NA,NA,NA,NA,NA,NA
202001050500,NA,NA,NA,NA,NA,NA,NA
202001050530,NA,NA,NA,NA,NA,NA,NA
202001050600,NA,-9.5341,4.38855,187.923,103211,NA,NA
202001050630,NA,NA,NA,NA,NA,NA,NA
202001050700,NA,NA,NA,NA,NA,NA,NA
202001050730,NA,NA,NA,NA,NA,NA,NA
202001050800,NA,NA,NA,NA,NA,NA,NA
202001050830,NA,-14.336,4.67113,186.107,103218,NA,NA
202001050900,-2.92696,-13.1202,4.99477,194.891,103225,NA,NA
202001050930,NA,-6.64778,4.82723,192.673,103231,NA,NA
202001051000,-2.76543,-10.6018,4.64743,190.697,103228,NA,NA
202001051030,-2.77217,-7.8652,5.21918,186.174,103205,NA,NA
202001051100,-2.55788,-10.9,6.03775,197.826,103179,NA,NA
202001051130,-3.35722,-12.6131,5.70573,198.342,103171,NA,NA
202001051200,-1.06399,-12.1369,5.38872,202.211,103155,NA,NA
202001051230,NA,-10.1376,5.19909,205.517,103117,NA,NA
202001051300,2.16842,-13.4675,5.29879,210.799,103084,NA,NA
202001051330,0.860089,-9.20203,4.9601,209.179,103059,NA,NA
202001051400,NA,-7.7308,4.53449,204.972,103075,NA,NA
202001051430,1.25415,-8.02959,4.50942,204.669,103073,NA,NA
202001051500,1.61439,-10.6933,5.08388,201.684,103056,NA,NA
202001051530,0.618988,-6.75126,4.89175,197.823,103056,NA,NA
202001051600,0.898361,-11.6297,5.07389,196.27,103055,NA,NA
202001051630,2.6223,-12.6507,5.23554,204.772,103041,NA,NA
202001051700,NA,NA,5.40307,196.904,103027,NA,NA
202001051730,2.482,-16.3956,6.05543,197.243,103000,NA,NA
202001051800,1.73806,-13.9368,6.20841,193.923,102985,NA,NA
202001051830,NA,-10.6338,6.02403,189.441,102990,NA,NA
202001051900,-1.77167,-10.8377,5.86254,188.96,102995,NA,NA
202001051930,-1.97403,-12.0769,6.66075,187.939,102972,NA,NA
202001052000,NA,NA,6.28903,180.738,102953,NA,NA
202001052030,-1.19111,-10.45,6.87033,176.697,102935,NA,NA
202001052100,-1.69593,-10.5151,7.05418,180.13,102915,NA,NA
202001052130,-1.01379,-10.4747,6.87333,180.467,102889,NA,NA
202001052200,-1.874,-11.3657,7.00305,183.225,102880,NA,NA
