"LE"	"Kin"	"u"	"De"	"VPD"	"Twater"	"Kin_u"	"Kin_De"	"Kin_VPD"	"Kin_Twater"	"u_De"	"u_VPD"	"u_Twater"	"De_VPD"	"De_Twater"	"VPD_Twater"	"Kin_u_De"	"Kin_u_VPD"	"Kin_u_Twater"	"Kin_De_VPD"	"Kin_De_Twater"	"Kin_VPD_Twater"	"u_De_VPD"	"u_De_Twater"	"u_VPD_Twater"	"De_VPD_Twater"	"Kin_u_De_VPD"	"Kin_u_De_Twater"	"Kin_u_VPD_Twater"	"Kin_De_VPD_Twater"	"u_De_VPD_Twater"	"Kin_u_De_VPD_Twater"
47.3384	116.666666666667	6.498585	0.366747679677173	0.810252	10.36	758.16825	42.7872292956702	94.5294	1208.66666666667	2.38334096993488	5.26549149342	67.3253406	0.297158040953789	3.79950596145552	8.39421072	278.056446492403	614.307340899	7854.62307	34.6684381112754	443.275695503144	979.324584	1.93110678757168	24.6914124485254	54.5504918718312	3.07855730428126	225.295791883363	2880.6647856613	6364.22405171364	359.165018832813	20.0062663192426	2334.06440391164
32.4622	36.1111111111111	5.808355	0.409358667890052	0.8203935	10.75	209.746152777778	14.7823963404741	29.6253208333333	388.194444444444	2.37770046543252	4.7651366876925	62.43981625	0.335835190305657	4.40060567981806	8.819230125	85.8614056961744	172.074380388896	2254.77114236111	12.1273818721487	158.910760660097	318.472198958333	1.95065000678782	25.5602800033996	51.2252193926944	3.61022829578582	70.4401391340045	923.010111233875	1849.79958918063	130.369355125599	20.969487572969	757.231495690548
30.515825	0	4.88169	0.359294343705593	0.8170425	10.37	0	0	0	0	1.75396360472416	3.988548201825	50.6231253	0.293558748817077	3.725882344227	8.472730725	0	0	0	0	0	0	1.43306280851284	18.1886025809895	41.3612448529252	3.04420422523309	0	0	0	0	14.8608613242781	0
33.9221	0	5.36358	0.374964912030034	0.8148275	10.55	0	0	0	0	2.01115430286605	4.37039248245	56.585769	0.305531721857153	3.95587982191686	8.596430125	0	0	0	0	0	0	1.63874383271859	21.2176778952369	46.1076406898475	3.22335966559296	0	0	0	0	17.2887474351811	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40.6944	147.222222222222	8.2242	0.202507143934658	0.490873	10.97	1210.785	29.8135517459357	72.2674138888889	1615.02777777778	1.66545925314741	4.0370377266	90.219474	0.0994052892646371	2.22150336896319	5.38487681	245.192612268924	594.341665305	13282.31145	14.6346675861827	327.054662652915	792.773530361111	0.817528979970229	18.2700880070271	44.286303860802	1.09047602323307	120.358433162284	2689.7629565901	6519.92806839585	160.542303420424	8.96829291027341	1320.33201179025
31.9798	63.8888888888889	6.02372	0.230750227402311	0.470159	10.93	384.848777777778	14.7423756395921	30.0379361111111	698.305555555556	1.38997475980785	2.83210617148	65.8392596	0.108489296165243	2.52209998550726	5.13883787	88.8039429877237	180.940116511222	4206.39714111111	6.93126058833498	161.134165740742	328.314641694444	0.653509143096498	15.1924241246998	30.9549204542764	1.18578800708611	41.7519730311652	970.62709685582	1977.67547346766	75.7586782305013	7.14285493404473	456.349065230635
34.1801	2.77777777777778	6.07084	NA	0.4958845	NA	16.8634444444444	NA	1.37745694444444	NA	NA	3.01043545798	NA	NA	NA	NA	NA	8.36232071661111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
42.47655	0	7.88326	-0.0676615376203835	0.5023135	6.88	0	0	0	0	-0.533393493061264	3.95986792201	54.2368288	-0.0339873037774765	-0.465511378828239	3.45591688	0	0	0	0	0	0	-0.26793075237683	-3.6697472322615	27.2438913034288	-0.233832649989038	0	0	0	0	-1.84336357635259	0
52.36035	0	8.444835	0.254159884613905	0.504356	10.94	0	0	0	0	2.14633828918347	4.25920320126	92.3864949	0.128187062764331	2.78050913767612	5.51765464	0	0	0	0	0	0	1.08251859417942	23.4809408836671	46.5956830217844	1.40236646664178	0	0	0	0	11.8427534203228	0
40.7812	0	7.172275	0.262508204849121	0.4831445	11.14	0	0	0	0	1.88278103493423	3.4652452187375	79.8991435	0.126829395377726	2.9243414020192	5.38222973	0	0	0	0	0	0	0.909655301732779	20.9741807291673	38.6028317367358	1.41287946450787	0	0	0	0	10.1335600613032	0
41.84385	0	7.62899	0.210365609612605	0.510492	10.3	0	0	0	0	1.60487713207846	3.89453836308	78.578597	0.107389960782358	2.16676577900983	5.2580676	0	0	0	0	0	0	0.819276936908999	16.5302344604082	40.113745139724	1.10611659605828	0	0	0	0	8.43855245016269	0
40.342125	0	7.956245	0.176777911843059	0.488964	9.82999999999998	0	0	0	0	1.40648837721177	3.89031738018	78.2098883499998	0.0864380348864293	1.73772687341726	4.80651611999999	0	0	0	0	0	0	0.687722182874978	13.8257807479917	38.2418198471693	0.849685882933598	0	0	0	0	6.76030905766102	0
36.9279	0	8.642635	NA	0.399036	NA	0	NA	0	NA	NA	3.44872249986	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
49.42305	0	9.180745	NA	0.3987895	NA	0	NA	0	NA	NA	3.6611847081775	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
44.27345	0	9.327185	NA	0.3905105	NA	0	NA	0	NA	NA	3.6423636779425	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52.49095	30.5555555555556	9.10629	0.174711667885072	0.397349	10.14	278.24775	5.33841207426607	12.1412194444444	309.833333333333	1.59097511414515	3.61837522521	92.3377806	0.0694215065224653	1.77157631235463	4.02911886	48.6131284877684	110.56146521475	2821.432185	2.12121269929755	54.131498433058	123.111965166667	0.63217237063046	16.1324876574318	36.6903247836294	0.703934076137798	19.3163779914863	492.937122865972	1121.09325727757	21.5090967708772	6.41022783819287	195.868072833671
47.7419	136.111111111111	8.551445	0.133110437699559	0.432834	9.42000000000002	1163.94668055556	18.1178095757733	58.9135166666667	1282.16666666667	1.13828658691371	3.70135614513	80.5546119000002	0.0576147231912509	1.25390032312985	4.07729628000001	154.933452107699	503.795697531583	10964.3777308334	7.84200398992026	170.669766203785	554.965327000001	0.492689136560207	10.7226596487271	34.8667748871247	0.542730692461585	67.0604658095837	1459.47311885453	4745.75547074752	73.871677585049	4.64113166639716	631.70958792628
45.3704	277.777777777778	8.009055	0.242407902910634	0.4669785	10.68	2224.7375	67.3355285862872	129.71625	2966.66666666667	1.94145822684593	3.7400564903175	85.5367074	0.113199278889353	2.58891640308557	4.98733038	539.293951901647	1038.90458064375	23760.1965	31.4442441359315	719.143445301548	1385.36955	0.906619250585171	20.7347738627145	39.9438033165909	1.2089682985383	251.838680718103	5759.65940630959	11095.5009212753	335.824527371749	9.68269359624963	2689.63711006934
54.25975	455.555555555556	8.44085	0.330481358599396	0.45715	11.85	3845.27611111111	150.552618917502	208.257222222222	5398.33333333333	2.78954357573371	3.8587345775	100.0240725	0.151079553083714	3.91620409940284	5.4172275	1270.7920733898	1757.86797419444	45566.5219166667	68.8251297381362	1784.0485341724	2467.84808333333	1.27523984564666	33.0560913724444	45.726004743375	1.79029270404201	580.942596350147	15058.8860696691	20830.7354942042	815.577787396914	15.111592170913	6884.16976674924
41.79075	638.888888888889	7.672175	0.372023323988578	0.467706	12.6	4901.66736111111	237.681568103813	298.812166666667	8050	2.85422804572206	3.58832228055	96.669405	0.173997540769402	4.68749388225608	5.8930956	1823.53458476688	2292.53923479583	61761.00875	111.165095491562	2994.78775810805	3765.0333	1.33493958235248	35.963273376098	45.21286073493	2.19236901369446	852.878066502976	22976.5357680626	28885.9943584275	1400.68020319368	16.8202387376413	10746.2636379375
31.81755	730.555555555556	6.813445	0.421311970873162	0.4910895	13.27	4977.60009722222	307.791800943449	358.7681625	9694.47222222222	2.87058594138589	3.3460112983275	90.41441515	0.206901885120116	5.59080985348686	6.516757665	2097.12250717914	2444.44714294481	66052.7532901389	151.153321629418	4084.39719851957	4760.853516375	1.40971461466223	38.0926754421908	44.4015699288059	2.74558801554393	1029.87484348935	27828.8156702671	32437.8135868777	2005.80457802237	18.7069129365677	13666.4391731037
NA	802.777777777778	6.131905	NA	0.551771	NA	4922.55706944444	NA	442.949497222222	NA	NA	3.383407353755	NA	NA	NA	NA	NA	2716.12423676443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	611.111111111111	5.91041	NA	0.5783725	NA	3611.91722222222	NA	353.449861111111	NA	NA	3.418418607725	NA	NA	NA	NA	NA	2089.03359360972	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16.2911	161.111111111111	3.581875	NA	0.6885455	NA	577.079861111111	NA	110.932330555556	NA	NA	2.4662839128125	NA	NA	NA	NA	NA	397.345741508681	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27.4389	688.888888888889	5.263505	NA	0.665896	NA	3625.97011111111	NA	458.728355555556	NA	NA	3.50494692548	NA	NA	NA	NA	NA	2414.51899310845	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22.3039	652.777777777778	4.877505	0.256990093574006	0.6195635	12.27	3183.926875	167.757422194143	404.437284722222	8009.58333333333	1.25347046635768	3.0219240690675	59.84698635	0.159221681840039	3.15326844815306	7.602044145	818.237665539044	1972.64487841906	39066.78275625	103.936375645581	2058.38357032214	4962.44548354167	0.776604549283199	15.3800826222088	37.0790083274582	1.95365003617728	506.9501918932	10039.7761561641	24204.3526582019	1275.29932917128	9.52893781970485	6220.27885452956
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
