"YYYYmmddHHMM","LE","H","wind_speed","wind_dir","air_pressure","Tair","RH"
201905110030,134.453,50.5286,7.6363,88.6232,101275,NA,NA
201905110100,117.924,45.724,7.51943,87.9023,101275,NA,NA
201905110130,129.743,47.2665,7.25837,88.7865,101275,NA,NA
201905110200,151.282,57.3657,7.32527,86.8851,101275,NA,NA
201905110230,132.45,57.5736,7.27629,92.0948,101275,NA,NA
201905110300,114.765,52.5126,6.91597,87.3015,101275,NA,NA
201905110330,109.289,45.3634,7.17216,83.3202,101275,NA,NA
201905110400,82.7365,31.7233,7.01512,77.4709,101275,NA,NA
201905110430,99.0303,39.7673,6.70592,79.896,101275,NA,NA
201905110500,104.92,42.1396,6.76276,82.4735,101275,NA,NA
201905110530,88.4346,36.0752,6.84775,82.9212,101275,NA,NA
201905110600,78.7836,35.5358,6.95214,75.0447,101275,NA,NA
201905110630,86.4101,37.7131,7.00799,75.8333,101275,NA,NA
201905110700,116.401,50.0535,7.12896,71.9491,101275,NA,NA
201905110730,NA,NA,NA,NA,NA,NA,NA
201905110800,NA,NA,NA,NA,NA,NA,NA
201905110830,NA,NA,NA,NA,NA,NA,NA
201905110900,NA,NA,NA,NA,NA,NA,NA
201905110930,NA,NA,NA,NA,NA,NA,NA
201905111000,NA,NA,NA,NA,NA,NA,NA
201905111030,NA,NA,NA,NA,NA,NA,NA
201905111100,NA,NA,NA,NA,NA,NA,NA
201905111130,NA,NA,NA,NA,NA,NA,NA
201905111200,NA,NA,NA,NA,NA,NA,NA
201905111230,NA,NA,NA,NA,NA,NA,NA
201905111300,NA,NA,NA,NA,NA,NA,NA
201905111330,NA,NA,NA,NA,NA,NA,NA
201905111400,NA,NA,NA,NA,NA,NA,NA
201905111430,NA,NA,NA,NA,NA,NA,NA
201905111500,NA,NA,NA,NA,NA,NA,NA
201905111530,NA,NA,NA,NA,NA,NA,NA
201905111600,NA,NA,NA,NA,NA,NA,NA
201905111630,NA,NA,NA,NA,NA,NA,NA
201905111700,NA,NA,NA,NA,NA,NA,NA
201905111730,NA,NA,NA,NA,NA,NA,NA
201905111800,NA,NA,NA,NA,NA,NA,NA
201905111830,NA,NA,NA,NA,NA,NA,NA
201905111900,NA,NA,NA,NA,NA,NA,NA
201905111930,NA,NA,NA,NA,NA,NA,NA
201905112000,NA,NA,NA,NA,NA,NA,NA
201905112030,NA,NA,NA,NA,NA,NA,NA
201905112100,NA,NA,NA,NA,NA,NA,NA
201905112130,NA,NA,NA,NA,NA,NA,NA
201905112200,NA,NA,NA,NA,NA,NA,NA
201905112230,NA,NA,NA,NA,NA,NA,NA
201905112300,NA,NA,NA,NA,NA,NA,NA
201905112330,NA,NA,NA,NA,NA,NA,NA
201905120000,NA,NA,NA,NA,NA,NA,NA
201905120030,NA,NA,NA,NA,NA,NA,NA
201905120100,NA,NA,NA,NA,NA,NA,NA
201905120130,NA,NA,NA,NA,NA,NA,NA
201905120200,NA,NA,NA,NA,NA,NA,NA
201905120230,NA,NA,NA,NA,NA,NA,NA
201905120300,NA,NA,NA,NA,NA,NA,NA
201905120330,NA,NA,NA,NA,NA,NA,NA
201905120400,NA,NA,NA,NA,NA,NA,NA
201905120430,NA,NA,NA,NA,NA,NA,NA
201905120500,NA,NA,NA,NA,NA,NA,NA
201905120530,NA,NA,NA,NA,NA,NA,NA
201905120600,NA,NA,NA,NA,NA,NA,NA
201905120630,NA,NA,NA,NA,NA,NA,NA
201905120700,NA,NA,NA,NA,NA,NA,NA
201905120730,NA,NA,NA,NA,NA,NA,NA
201905120800,NA,NA,NA,NA,NA,NA,NA
201905120830,NA,NA,NA,NA,NA,NA,NA
201905120900,NA,NA,NA,NA,NA,NA,NA
201905120930,NA,NA,NA,NA,NA,NA,NA
201905121000,NA,NA,NA,NA,NA,NA,NA
201905121030,NA,NA,NA,NA,NA,NA,NA
201905121100,NA,NA,NA,NA,NA,NA,NA
201905121130,NA,NA,NA,NA,NA,NA,NA
201905121200,NA,NA,NA,NA,NA,NA,NA
201905121230,NA,NA,NA,NA,NA,NA,NA
201905121300,NA,NA,NA,NA,NA,NA,NA
201905121330,NA,NA,NA,NA,NA,NA,NA
201905121400,NA,NA,NA,NA,NA,NA,NA
201905121430,NA,NA,NA,NA,NA,NA,NA
201905121500,NA,NA,NA,NA,NA,NA,NA
201905121530,NA,NA,NA,NA,NA,NA,NA
201905121600,NA,NA,NA,NA,NA,NA,NA
201905121630,NA,NA,NA,NA,NA,NA,NA
201905121700,NA,NA,NA,NA,NA,NA,NA
201905121730,NA,NA,NA,NA,NA,NA,NA
201905121800,NA,NA,NA,NA,NA,NA,NA
201905121830,NA,NA,NA,NA,NA,NA,NA
201905121900,NA,NA,NA,NA,NA,NA,NA
201905121930,NA,NA,NA,NA,NA,NA,NA
201905122000,NA,NA,NA,NA,NA,NA,NA
201905122030,NA,NA,NA,NA,NA,NA,NA
201905122100,NA,NA,NA,NA,NA,NA,NA
201905122130,NA,NA,NA,NA,NA,NA,NA
201905122200,NA,NA,NA,NA,NA,NA,NA
