"YYYYmmddHHMM","LE","H","wind_speed","wind_dir","air_pressure","Tair","RH"
201901010030,NA,-28.0157,6.42683,238.633,103049,7.351,86.1
201901010100,3.95359,-23.4308,6.64899,237.476,103024,7.39,85.5
201901010130,NA,-27.9326,7.19902,229.5,102981,7.401,86
201901010200,2.94086,-32.4407,8.3561,229.276,102924,7.534,84.9
201901010230,NA,-35.2257,8.49394,237.618,102904,7.597,84.4
201901010300,6.22221,-34.7061,8.79993,237.609,102880,7.654,83.2
201901010330,NA,-41.1527,9.01015,239.9,102853,7.661,84.2
201901010400,2.19488,-45.4092,9.06807,244.133,102839,7.674,84.8
201901010430,NA,-41.6836,9.04255,245.37,102833,7.653,85.3
201901010500,NA,-46.687,9.23525,248.355,102794,7.632,86.5
201901010530,NA,-47.247,9.53061,251.523,102752,7.752,86.8
201901010600,-5.02884,-41.848,9.29712,255.176,102726,7.864,87.1
201901010630,-6.4526,-44.9454,9.41095,256.647,102693,7.871,88.1
201901010700,NA,-38.5219,9.50186,261.876,102676,7.794,90.6
201901010730,NA,-31.8551,8.60634,264.214,102689,7.509,94.7
201901010800,NA,NA,NA,NA,NA,NA,NA
201901010830,NA,NA,NA,NA,NA,NA,NA
201901010900,NA,-37.5772,5.94892,302.33,102753,7.414,93.3
201901010930,NA,-27.8128,4.52099,297.972,102786,6.931,93.2
201901011000,NA,-33.9325,6.37134,307.741,102784,7.026,89.1
201901011030,3.97719,-35.7304,6.11792,300.7,102791,7.193,86.6
201901011100,8.4859,-44.702,5.73465,294.321,102786,6.991,87.8
201901011130,20.7524,-41.2676,7.00532,302.632,102800,7.06,84.9
201901011200,20.4975,-31.5252,7.38695,303.082,102806,7.075,82.6
201901011230,22.4886,-34.2965,7.77663,307.967,102810,7.101,82.5
201901011300,32.8443,-40.0977,9.41632,309.847,102793,7.204,81.2
201901011330,29.4203,-37.9742,9.28848,308.617,102803,7.236,80.6
201901011400,27.7467,-38.1449,9.80715,312.116,102822,7.281,80.7
201901011430,19.4811,-31.8734,9.13031,312.045,102863,7.164,81.5
201901011500,40.587,-41.1953,10.1393,319.102,102868,7.291,77.56
201901011530,46.2366,-42.4518,10.2727,314.871,102875,7.164,77.55
201901011600,63.8576,-56.737,12.1151,321.802,102847,7.273,71.18
201901011630,59.9311,-48.7007,11.8278,316.752,102862,7.174,71.72
