"YYYYmmddHHMM","LE","H","wind_speed","wind_dir","air_pressure","Tair","RH"
202001031030,NA,NA,NA,NA,NA,NA,NA
202001031100,NA,NA,NA,NA,NA,NA,NA
202001031130,NA,NA,NA,NA,NA,NA,NA
202001031200,NA,NA,NA,NA,NA,NA,NA
202001031230,NA,NA,NA,NA,NA,NA,NA
202001031300,NA,NA,NA,NA,NA,NA,NA
202001031330,NA,NA,NA,NA,NA,NA,NA
202001031400,NA,NA,NA,NA,NA,NA,NA
202001031430,NA,NA,NA,NA,NA,NA,NA
202001031500,NA,NA,NA,NA,NA,NA,NA
202001031530,NA,NA,NA,NA,NA,NA,NA
202001031600,NA,-2.81828,4.96556,1.84251,101275,NA,NA
202001031630,31.6129,-47.8823,5.51896,1.01515,101275,NA,NA
202001031700,58.0352,-48.4298,5.77037,3.16451,101275,NA,NA
202001031730,41.4249,-34.0426,5.59537,6.81574,101275,NA,NA
202001031800,NA,NA,4.56949,359.941,101275,NA,NA
202001031830,NA,NA,4.50191,3.76344,101275,NA,NA
202001031900,NA,NA,3.34315,340.968,101275,NA,NA
202001031930,NA,NA,2.87582,328.778,101275,NA,NA
202001032000,NA,NA,3.15139,327.857,101275,NA,NA
202001032030,NA,NA,3.23941,307.172,101275,NA,NA
202001032100,NA,NA,3.23627,302.679,101275,NA,NA
202001032130,NA,NA,3.4491,301.975,101275,NA,NA
202001032200,NA,NA,3.62498,312.664,101275,NA,NA
202001032230,NA,NA,3.58271,312.309,101275,NA,NA
202001032300,NA,NA,3.78999,305.196,101275,NA,NA
202001032330,NA,NA,3.85609,299.955,101275,NA,NA
202001040000,NA,NA,4.15341,298.742,101275,NA,NA
202001040030,NA,NA,4.32117,300.345,101275,NA,NA
202001040100,NA,NA,4.0958,301.524,101275,NA,NA
202001040130,NA,NA,4.1466,308.103,101275,NA,NA
202001040200,NA,NA,4.36485,322.385,101275,NA,NA
202001040230,NA,NA,4.40232,324.242,101275,NA,NA
202001040300,NA,NA,4.21251,321.112,101275,NA,NA
202001040330,NA,NA,4.45544,316.343,101275,NA,NA
202001040400,NA,NA,4.65482,312.055,101275,NA,NA
202001040430,NA,NA,4.74705,306.821,101275,NA,NA
202001040500,NA,NA,4.97891,311.983,101275,NA,NA
202001040530,NA,NA,4.48043,306.821,101275,NA,NA
202001040600,NA,NA,4.55924,311.452,101275,NA,NA
202001040630,NA,NA,5.25901,316.065,101275,NA,NA
202001040700,NA,NA,5.47137,314.423,101275,NA,NA
202001040730,NA,NA,4.70323,310.204,101275,NA,NA
202001040800,NA,NA,4.49393,307.679,101275,NA,NA
202001040830,NA,NA,5.32873,305.315,101275,NA,NA
202001040900,NA,NA,5.06951,307.515,101275,NA,NA
202001040930,NA,NA,4.71962,307.795,101275,NA,NA
202001041000,NA,NA,5.35734,314.113,101275,NA,NA
202001041030,NA,NA,5.73797,314.581,101275,NA,NA
202001041100,NA,NA,5.08931,320.58,101275,NA,NA
202001041130,NA,NA,4.84419,325.885,101275,NA,NA
202001041200,NA,NA,4.74976,326.166,101275,NA,NA
202001041230,NA,NA,4.46002,331.917,101275,NA,NA
202001041300,NA,NA,4.9004,335.296,101275,NA,NA
202001041330,NA,NA,4.83559,334.938,101275,NA,NA
202001041400,NA,NA,4.57932,333.682,101275,NA,NA
202001041430,NA,NA,5.54032,340.047,101275,NA,NA
202001041500,NA,NA,5.36463,340.02,101275,NA,NA
202001041530,NA,NA,4.0709,329.671,101275,NA,NA
202001041600,NA,NA,4.35129,333.139,101275,NA,NA
202001041630,NA,NA,3.95833,329.908,101275,NA,NA
202001041700,NA,NA,3.81887,354.964,101275,NA,NA
202001041730,NA,NA,NA,NA,NA,NA,NA
202001041800,NA,NA,3.29504,340.959,101275,NA,NA
202001041830,NA,NA,3.21985,342.149,101275,NA,NA
