"LE"	"Kin"	"u"	"De"	"VPD"	"Twater"	"Kin_u"	"Kin_De"	"Kin_VPD"	"Kin_Twater"	"u_De"	"u_VPD"	"u_Twater"	"De_VPD"	"De_Twater"	"VPD_Twater"	"Kin_u_De"	"Kin_u_VPD"	"Kin_u_Twater"	"Kin_De_VPD"	"Kin_De_Twater"	"Kin_VPD_Twater"	"u_De_VPD"	"u_De_Twater"	"u_VPD_Twater"	"De_VPD_Twater"	"Kin_u_De_VPD"	"Kin_u_De_Twater"	"Kin_u_VPD_Twater"	"Kin_De_VPD_Twater"	"u_De_VPD_Twater"	"Kin_u_De_VPD_Twater"
NA	0	11.035	0.0195522913306332	NA	7.06999999999999	0	0	NA	0	0.215759534833537	NA	78.0174499999999	NA	0.138234699707577	NA	0	NA	0	NA	0	NA	NA	1.52541991127311	NA	NA	NA	0	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-27.7059	0	10.6461	-0.131880198145362	0.913023	5.06999999999999	0	0	0	0	-1.40400977747534	9.7201341603	53.9757269999999	-0.120409654151273	-0.668632604596984	4.62902660999999	0	0	0	0	0	0	-1.28189321905987	-7.11832957179995	49.2810801927209	-0.610476946546952	0	0	0	0	-6.49919862063351	0
93.45705	0	10.48495	NA	1.128955	NA	0	NA	0	NA	NA	11.83703672725	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
76.95615	0	10.006505	NA	1.09608	NA	0	NA	0	NA	NA	10.9679300004	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
65.38365	13.8888888888889	9.75912	NA	1.052145	NA	135.543333333333	NA	14.613125	NA	NA	10.2680093124	NA	NA	NA	NA	NA	142.61124045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
79.5402	61.1111111111111	10.61595	NA	1.017705	NA	648.7525	NA	62.1930833333333	NA	NA	10.80390539475	NA	NA	NA	NA	NA	660.2386630125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
69.328925	63.8888888888889	8.90083	NA	1.05349	NA	568.664138888889	NA	67.3063055555556	NA	NA	9.3769353967	NA	NA	NA	NA	NA	599.081983678056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
97.1814	233.333333333333	10.8915	NA	1.09254	NA	2541.35	NA	254.926	NA	NA	11.89939941	NA	NA	NA	NA	NA	2776.526529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
82.3966	197.222222222222	9.0775	NA	0.9150315	NA	1790.28472222222	NA	180.464545833333	NA	NA	8.30619844125	NA	NA	NA	NA	NA	1638.16691480208	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
78.9973	386.111111111111	7.78054	NA	1.11702	NA	3004.15294444444	NA	431.293833333333	NA	NA	8.6910187908	NA	NA	NA	NA	NA	3355.69892200333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
99.7621	508.333333333333	8.922975	NA	1.19958	NA	4535.845625	NA	609.7865	NA	NA	10.7038223505	NA	NA	NA	NA	NA	5441.1096948375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
114.7705	550	9.66571	NA	1.20305	NA	5316.1405	NA	661.6775	NA	NA	11.6283324155	NA	NA	NA	NA	NA	6395.582828525	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
125.191	338.888888888889	9.711985	NA	1.21909	NA	3291.28380555556	NA	413.136055555556	NA	NA	11.83978379365	NA	NA	NA	NA	NA	4012.37117451472	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
129.7145	316.666666666667	10.13046	NA	1.21091	NA	3207.979	NA	383.454833333333	NA	NA	12.2670753186	NA	NA	NA	NA	NA	3884.57385089	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
78.8102	125	7.86882	0.478956158642682	1.163645	12.94	983.6025	59.8695198303353	145.455625	1617.5	3.76881980025071	9.1565130489	101.8225308	0.557334939223764	6.19769269283631	15.0575663	471.102475031339	1144.5641311125	12727.81635	69.6668674029705	774.711586604539	1882.1957875	4.38556831646274	48.7685282152442	118.485278852766	7.21191411355551	548.196039557842	6096.06602690553	14810.6598565957	901.489264194439	56.7492540150279	7093.65675187848
71.75435	36.1111111111111	7.641225	0.403857584188819	1.151015	12.22	275.933125	14.5837460957073	41.5644305555556	441.277777777778	3.0859666687432	8.795164593375	93.3757695	0.464846137265093	4.93513967878736	14.0654033	111.437685260171	317.603165871875	3371.9027875	16.7861105123506	178.213377289544	507.917341388889	3.55199392522346	37.710512692042	107.476911331043	5.68041979737944	128.266447299736	1361.76851387929	3881.11068695431	205.126270460924	43.4053657662307	1567.41598600278
60.994	0	7.81461	0.350722242263205	1.10541	11.93	0	0	0	0	2.74075754161247	8.6383480401	93.2282973	0.38769187382017	4.18411635020004	13.1875413	0	0	0	0	0	0	3.02966079407384	32.6972374714367	103.055492118393	4.62516405467463	0	0	0	0	36.1438532733009	0
60.01225	0	7.967655	0.359464380109979	1.088765	11.89	0	0	0	0	2.86408816550518	8.674903896075	94.73541795	0.391372235810442	4.27403147950766	12.94541585	0	0	0	0	0	0	3.11831895151625	34.0540082878566	103.144607324332	4.65341588378615	0	0	0	0	37.0768123335282	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
41.39705	0	8.137245	0.213478477331739	1.00666	10.78	0	0	0	0	1.7371266722753	8.1914390517	87.7195011	0.214900243990768	2.30129798563614	10.8517948	0	0	0	0	0	0	1.74869593591266	18.7262255271278	88.303712977326	2.31662463022048	0	0	0	0	18.8509421891384	0
39.7208	0	8.41298	0.33206715435943	1.012965	12.16	0	0	0	0	2.79367432828279	8.5220542857	102.3018368	0.336372405015699	4.03793659701066	12.3176544	0	0	0	0	0	0	2.82989431594898	33.9710798319188	103.628180114112	4.09028844499091	0	0	0	0	34.4115148819396	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
