"LE"	"Kin"	"u"	"De"	"VPD"	"Twater"	"Kin_u"	"Kin_De"	"Kin_VPD"	"Kin_Twater"	"u_De"	"u_VPD"	"u_Twater"	"De_VPD"	"De_Twater"	"VPD_Twater"	"Kin_u_De"	"Kin_u_VPD"	"Kin_u_Twater"	"Kin_De_VPD"	"Kin_De_Twater"	"Kin_VPD_Twater"	"u_De_VPD"	"u_De_Twater"	"u_VPD_Twater"	"De_VPD_Twater"	"Kin_u_De_VPD"	"Kin_u_De_Twater"	"Kin_u_VPD_Twater"	"Kin_De_VPD_Twater"	"u_De_VPD_Twater"	"Kin_u_De_VPD_Twater"
NA	0	11.19945	NA	0.4774565	NA	0	NA	0	NA	NA	5.347250198925	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	0	10.23482	NA	0.3631305	NA	0	NA	0	NA	NA	3.71657530401	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	0	10.3869	NA	0.394615	NA	0	NA	0	NA	NA	4.0988265435	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	0	10.5271	NA	0.376074	NA	0	NA	0	NA	NA	3.9589686054	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	0	10.6894	NA	0.389653	NA	0	NA	0	NA	NA	4.1651567782	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	13.8888888888889	10.587325	NA	0.3919395	NA	147.046180555556	NA	5.44360416666667	NA	NA	4.1495908668375	NA	NA	NA	NA	NA	57.6332064838542	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	113.888888888889	10.5481	NA	0.3879005	NA	1201.31138888889	NA	44.1775569444444	NA	NA	4.09161326405	NA	NA	NA	NA	NA	465.989288405695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	188.888888888889	10.2681	NA	0.365717	NA	1939.53	NA	69.0798777777778	NA	NA	3.7552187277	NA	NA	NA	NA	NA	709.31909301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	172.222222222222	7.66519	NA	NA	NA	1320.11605555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	375	9.15178	NA	0.410518	NA	3431.9175	NA	153.94425	NA	NA	3.75697042204	NA	NA	NA	NA	NA	1408.863908265	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	0	4.04388	NA	0.232469	NA	0	NA	0	NA	NA	0.94007673972	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	0	4.69961	NA	0.174036	NA	0	NA	0	NA	NA	0.81790132596	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	0	4.40472	NA	0.254575	NA	0	NA	0	NA	NA	1.121331594	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	2.77777777777778	4.049565	NA	0.12361575	NA	11.2487916666667	NA	0.343377083333333	NA	NA	0.50059001464875	NA	NA	NA	NA	NA	1.39052781846875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	8.33333333333333	4.55487	NA	0.389023	NA	37.95725	NA	3.24185833333333	NA	NA	1.77194919201	NA	NA	NA	NA	NA	14.76624326675	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	75	6.0124	NA	0.448733	NA	450.93	NA	33.654975	NA	NA	2.6979622892	NA	NA	NA	NA	NA	202.34717169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	227.777777777778	6.7605	NA	0.5253575	NA	1539.89166666667	NA	119.664763888889	NA	NA	3.55167937875	NA	NA	NA	NA	NA	808.993636270833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	152.777777777778	6.72843	NA	0.5176305	NA	1027.95458333333	NA	79.0824375	NA	NA	3.482840585115	NA	NA	NA	NA	NA	532.100644948125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	169.444444444444	6.873175	NA	0.537171	NA	1164.62131944444	NA	91.0206416666667	NA	NA	3.692070287925	NA	NA	NA	NA	NA	625.600798787292	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	558.333333333333	6.244415	NA	0.5024445	NA	3486.46504166667	NA	280.5315125	NA	NA	3.1374719724675	NA	NA	NA	NA	NA	1751.75518462769	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	316.666666666667	6.07945	NA	0.565141	NA	1925.15916666667	NA	178.961316666667	NA	NA	3.43574645245	NA	NA	NA	NA	NA	1087.98637660917	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	636.111111111111	6.2588	NA	0.56943	NA	3981.29222222222	NA	362.22075	NA	NA	3.563948484	NA	NA	NA	NA	NA	2267.0672301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	522.222222222222	5.810995	NA	0.6008425	NA	3034.63072222222	NA	313.773305555556	NA	NA	3.4914927632875	NA	NA	NA	NA	NA	1823.33510971681	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	538.888888888889	6.776025	NA	0.579166	NA	3651.52458333333	NA	312.106122222222	NA	NA	3.92444329515	NA	NA	NA	NA	NA	2114.83888683083	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	488.888888888889	5.629955	NA	0.54537	NA	2752.42244444444	NA	266.625333333333	NA	NA	3.07040855835	NA	NA	NA	NA	NA	1501.08862852667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	233.333333333333	5.6601	NA	0.5230915	NA	1320.69	NA	122.054683333333	NA	NA	2.96075019915	NA	NA	NA	NA	NA	690.841713135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	105.555555555556	4.941395	NA	0.5074875	NA	521.591694444444	NA	53.568125	NA	NA	2.5076961950625	NA	NA	NA	NA	NA	264.701265034375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	22.2222222222222	3.323215	0.385581319823274	0.5130385	11.89	73.8492222222222	8.56847377385054	11.4008555555556	264.222222222222	1.2813696257565	1.7049372387775	39.51302635	0.197818061950153	4.58456189269873	6.100027765	28.4748805723667	37.8874941950556	878.067252222222	4.39595693222562	101.879153171083	135.556172555556	0.657391950743678	15.2354848502448	20.2717037690645	2.35205675658732	14.6087100165262	338.566330005441	450.482305979211	52.2679279241626	7.81639029434233	173.697562096496
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	0	4.71553	0.412082225812157	0.503622	12.43	0	0	0	0	1.943186098284	2.37484464966	58.6140379	0.20753367472797	5.12218206684511	6.26002146	0	0	0	0	0	0	0.978631269189985	24.1538032016701	29.5193189952738	2.57964357686867	0	0	0	0	12.1643866760315	0
NA	0	3.817265	0.417177927759033	0.5182335	12.44	0	0	0	0	1.59247870240709	1.9782346013775	47.4867766	0.216195577625311	5.18969342132237	6.44682474	0	0	0	0	0	0	0.825275811623882	19.8104350579441	24.6092384411361	2.68947298565887	0	0	0	0	10.2664310966011	0
